"","long","lat","order","hole","piece","group","id","region"
"1",-102.94634335,21.48385059,224081,FALSE,"1","32001.1","32001","32001"
"2",-102.95189538,21.46939837,224082,FALSE,"1","32001.1","32001","32001"
"3",-102.94217469,21.46756788,224083,FALSE,"1","32001.1","32001","32001"
"4",-102.93497694,21.45955214,224084,FALSE,"1","32001.1","32001","32001"
"5",-102.94556532,21.45260963,224085,FALSE,"1","32001.1","32001","32001"
"6",-102.95127071,21.43959239,224086,FALSE,"1","32001.1","32001","32001"
"7",-102.95360057,21.41902108,224087,FALSE,"1","32001.1","32001","32001"
"8",-102.95109765,21.41222971,224088,FALSE,"1","32001.1","32001","32001"
"9",-102.94198248,21.4137762,224089,FALSE,"1","32001.1","32001","32001"
"10",-102.93814948,21.40795577,224090,FALSE,"1","32001.1","32001","32001"
"11",-102.94211995,21.40025257,224091,FALSE,"1","32001.1","32001","32001"
"12",-102.95442969,21.39922739,224092,FALSE,"1","32001.1","32001","32001"
"13",-102.96234955,21.40138617,224093,FALSE,"1","32001.1","32001","32001"
"14",-102.97059246,21.38312469,224094,FALSE,"1","32001.1","32001","32001"
"15",-102.97061645,21.37597645,224095,FALSE,"1","32001.1","32001","32001"
"16",-102.98040312,21.36178565,224096,FALSE,"1","32001.1","32001","32001"
"17",-102.98488711,21.36326122,224097,FALSE,"1","32001.1","32001","32001"
"18",-102.99521843,21.37380123,224098,FALSE,"1","32001.1","32001","32001"
"19",-102.99193771,21.39609932,224099,FALSE,"1","32001.1","32001","32001"
"20",-103.00022229,21.40773769,224100,FALSE,"1","32001.1","32001","32001"
"21",-103.01234917,21.40718657,224101,FALSE,"1","32001.1","32001","32001"
"22",-103.02614941,21.41282726,224102,FALSE,"1","32001.1","32001","32001"
"23",-103.03902449,21.42611982,224103,FALSE,"1","32001.1","32001","32001"
"24",-103.04805252,21.42491086,224104,FALSE,"1","32001.1","32001","32001"
"25",-103.08203017,21.42648992,224105,FALSE,"1","32001.1","32001","32001"
"26",-103.09764475,21.43487417,224106,FALSE,"1","32001.1","32001","32001"
"27",-103.10539651,21.43456729,224107,FALSE,"1","32001.1","32001","32001"
"28",-103.10620266,21.44256094,224108,FALSE,"1","32001.1","32001","32001"
"29",-103.11880655,21.44216257,224109,FALSE,"1","32001.1","32001","32001"
"30",-103.1247834,21.45190708,224110,FALSE,"1","32001.1","32001","32001"
"31",-103.13415995,21.45590497,224111,FALSE,"1","32001.1","32001","32001"
"32",-103.14221351,21.45007694,224112,FALSE,"1","32001.1","32001","32001"
"33",-103.14999685,21.44830257,224113,FALSE,"1","32001.1","32001","32001"
"34",-103.16231208,21.4503162,224114,FALSE,"1","32001.1","32001","32001"
"35",-103.17074097,21.44934815,224115,FALSE,"1","32001.1","32001","32001"
"36",-103.17650397,21.45996279,224116,FALSE,"1","32001.1","32001","32001"
"37",-103.18079565,21.46071717,224117,FALSE,"1","32001.1","32001","32001"
"38",-103.18421209,21.44506659,224118,FALSE,"1","32001.1","32001","32001"
"39",-103.19131275,21.43838846,224119,FALSE,"1","32001.1","32001","32001"
"40",-103.20282398,21.44663163,224120,FALSE,"1","32001.1","32001","32001"
"41",-103.2164714,21.44790649,224121,FALSE,"1","32001.1","32001","32001"
"42",-103.21951335,21.45352835,224122,FALSE,"1","32001.1","32001","32001"
"43",-103.21344946,21.46751405,224123,FALSE,"1","32001.1","32001","32001"
"44",-103.17720735,21.56316274,224124,FALSE,"1","32001.1","32001","32001"
"45",-103.16031961,21.56085629,224125,FALSE,"1","32001.1","32001","32001"
"46",-103.1563948,21.55827032,224126,FALSE,"1","32001.1","32001","32001"
"47",-103.15716781,21.54909725,224127,FALSE,"1","32001.1","32001","32001"
"48",-103.14688814,21.54190986,224128,FALSE,"1","32001.1","32001","32001"
"49",-103.13224134,21.53762052,224129,FALSE,"1","32001.1","32001","32001"
"50",-103.12882163,21.53448843,224130,FALSE,"1","32001.1","32001","32001"
"51",-103.11220363,21.53092668,224131,FALSE,"1","32001.1","32001","32001"
"52",-103.11113811,21.54004546,224132,FALSE,"1","32001.1","32001","32001"
"53",-103.09524245,21.53843986,224133,FALSE,"1","32001.1","32001","32001"
"54",-103.09287405,21.53573919,224134,FALSE,"1","32001.1","32001","32001"
"55",-103.09587035,21.52502309,224135,FALSE,"1","32001.1","32001","32001"
"56",-103.08938371,21.52249099,224136,FALSE,"1","32001.1","32001","32001"
"57",-103.08349503,21.53528035,224137,FALSE,"1","32001.1","32001","32001"
"58",-103.07714898,21.53085437,224138,FALSE,"1","32001.1","32001","32001"
"59",-103.07424975,21.52419883,224139,FALSE,"1","32001.1","32001","32001"
"60",-103.0634298,21.52283483,224140,FALSE,"1","32001.1","32001","32001"
"61",-103.05571254,21.51671671,224141,FALSE,"1","32001.1","32001","32001"
"62",-103.04893674,21.52284885,224142,FALSE,"1","32001.1","32001","32001"
"63",-103.04053665,21.52534995,224143,FALSE,"1","32001.1","32001","32001"
"64",-103.03482332,21.51852568,224144,FALSE,"1","32001.1","32001","32001"
"65",-103.03092097,21.50535595,224145,FALSE,"1","32001.1","32001","32001"
